"","okres","pierwotna","finalna","co2","grupa","przetarg","kategoria","przeszle.przyszle","nowy.stary","data_zak","data_wyd","rok_zak","rok_wyd"
"433",10,46,15,145,"C",5,1,"","stary",2013-10-30,2017-11-09,2013,2017
"434",5,46,15,144,"E",5,1,"","stary",2017-12-20,2017-11-22,2017,2017
"435",5,138,45,440,"G",5,1,"","stary",2015-12-01,2017-11-24,2015,2017
"436",5,46,15,158,"E",5,1,"","stary",2016-08-31,2017-12-15,2016,2017
"437",10,46,15,145,"E",5,1,"","stary",2015-10-05,2018-01-31,2015,2018
"438",25,92,30,288,"A",5,3,"","stary",2014-01-21,2018-03-13,2014,2018
"439",45,46,15,143,"A",5,3,"","stary",2011-10-07,2018-03-16,2011,2018
"440",5,141,46,449,"G",5,1,"","stary",2016-07-11,2017-08-22,2016,2017
"441",5,141,46,449,"E",5,1,"","stary",2015-11-30,2017-10-13,2015,2017
"442",18,95,31,391,"G",2,2,"","stary",2012-11-01,2015-01-14,2012,2015
"443",5,95,31,303,"G",5,1,"","stary",2016-02-29,2017-10-13,2016,2017
"444",3,95,31,290,"E",2018,4,"przysz쿮","nowy",2017-09-18,2018-03-26,2017,2018
"445",15,144,47,569,"A",1,2,"","stary",2013-06-30,2014-02-21,2013,2014
"446",5,98,32,230,"F",1,2,"","stary",2011-12-31,2014-01-16,2011,2014
"447",15,49,16,153,"E",2,1,"","stary",2012-12-17,2015-01-12,2012,2015
"448",18,98,32,403,"G",2,2,"","stary",2012-11-01,2015-01-14,2012,2015
"449",25,49,16,150,"A",3,3,"","stary",2014-05-13,2015-10-28,2014,2015
"450",10,49,16,194,"E",3,1,"","stary",2016-12-30,2015-12-08,2016,2015
"451",10,49,16,192,"E",3,1,"","stary",2014-06-30,2015-11-13,2014,2015
"452",20,49,16,192,"G",3,1,"","stary",2015-11-30,2015-12-08,2015,2015
"453",5,49,16,153,"G",4,1,"","stary",2012-12-16,2016-07-28,2012,2016
"454",15,49,16,157,"E",4,1,"","stary",2015-08-10,2016-08-24,2015,2016
"455",15,49,16,157,"C",4,1,"","stary",2015-10-30,2016-08-10,2015,2016
"456",15,49,16,158,"E",4,1,"","stary",2015-11-30,2016-08-10,2015,2016
"457",15,147,48,1515,"F",4,2,"","stary",2015-10-29,2016-09-16,2015,2016
"458",5,49,16,154,"F",4,1,"","stary",2015-08-15,2016-08-30,2015,2016
"459",10,49,16,154,"E",5,1,"","stary",2016-02-19,2017-09-21,2016,2017
"460",5,49,16,158,"G",5,1,"","stary",2015-05-12,2017-09-29,2015,2017
"461",5,98,32,314,"E",5,1,"","stary",2015-11-30,2017-09-29,2015,2017
"462",5,98,32,313,"G",5,1,"","stary",2012-02-02,2017-09-29,2012,2017
"463",10,49,16,163,"C",5,1,"","stary",2014-11-30,2017-10-12,2014,2017
"464",5,49,16,229,"G",5,1,"","stary",2015-05-05,2017-10-13,2015,2017
"465",10,49,16,152,"G",5,1,"","stary",2014-12-31,2017-11-24,2014,2017
"466",5,49,16,151,"E",2018,4,"przesz쿮","nowy",2015-06-29,2018-03-26,2015,2018
"467",4,49,16,150,"E",5,1,"","stary",2018-02-16,2018-03-28,2018,2018
"468",5,49,16,152,"F",2018,4,"przesz쿮","nowy",2015-10-02,2018-10-09,2015,2018
"469",5,101,33,324,"E",5,1,"","stary",2015-12-02,2017-09-29,2015,2017
"470",5,153,50,477,"A",4,3,"","stary",2014-12-19,2016-09-29,2014,2016
"471",5,52,17,161,"E",3,1,"","stary",2013-12-31,2015-11-30,2013,2015
"472",15,156,51,531,"G",3,1,"","stary",2012-12-31,2015-12-17,2012,2015
"473",15,104,34,333,"C",4,1,"","stary",2013-04-01,2016-07-26,2013,2016
"474",5,104,34,331,"E",5,1,"","stary",2015-10-30,2017-08-22,2015,2017
"475",15,52,17,164,"E",5,1,"","stary",2016-03-24,2017-09-21,2016,2017
"476",15,52,17,167,"E",5,1,"","stary",2015-12-22,2017-09-25,2015,2017
"477",5,52,17,181,"E",5,1,"","stary",2017-08-15,2018-03-28,2017,2018
"478",5,52,17,166,"E",2018,4,"przesz쿮","nowy",2015-04-29,2018-10-09,2015,2018
"479",5,107,35,334,"G",3,1,"","stary",2011-09-28,2015-11-30,2011,2015
"480",10,107,35,334,"G",4,1,"","stary",2013-12-12,2016-08-18,2013,2016
"481",6,162,53,293,"E",5,1,"","stary",2018-04-30,2018-06-04,2018,2018
"482",10,55,18,520,"E",2,1,"","stary",2013-07-01,2015-03-09,2013,2015
"483",10,55,18,191,"E",4,1,"","stary",2017-01-04,2016-07-29,2017,2016
"484",4,55,18,170,"E",4,1,"","stary",2011-12-31,2016-08-12,2011,2016
"485",10,55,18,216,"F",4,1,"","stary",2013-09-30,2016-08-30,2013,2016
"486",5,55,18,536,"G",5,2,"","stary",2016-07-01,2017-09-28,2016,2017
"487",5,165,54,525,"F",5,1,"","stary",2016-08-29,2017-10-09,2016,2017
"488",20,55,18,180,"E",5,1,"","stary",2016-06-30,2017-10-12,2016,2017
"489",4,55,18,214,"E",5,1,"","stary",2017-03-31,2017-10-27,2017,2017
"490",10,55,18,175,"F",5,1,"","stary",2013-09-30,2017-11-07,2013,2017
"491",5,55,18,172,"E",5,1,"","stary",2016-06-30,2017-11-13,2016,2017
"492",15,55,18,173,"E",5,1,"","stary",2016-09-12,2017-11-14,2016,2017
"493",2,55,18,171,"E",2018,4,"przesz쿮","nowy",2016-09-30,2018-05-30,2016,2018
"494",10,168,55,524,"E",4,1,"","stary",2015-12-22,2016-08-18,2015,2016
"495",10,113,37,385,"A",2,1,"","stary",2012-11-28,2015-02-05,2012,2015
"496",15,171,56,675,"E",3,1,"","stary",2014-10-30,2015-11-06,2014,2015
"497",20,171,56,673,"A",3,3,"","stary",2013-07-10,2015-11-30,2013,2015
"498",15,229,75,713,"C",4,1,"","stary",2015-11-18,2016-08-12,2015,2016
"499",10,232,76,721,"E",2,1,"","stary",2014-01-21,2015-01-20,2014,2015
"500",45,116,38,396,"A",2,1,"","stary",2013-06-28,2015-02-06,2013,2015
"501",10,58,19,230,"E",4,1,"","stary",2014-09-26,2016-09-16,2014,2016
"502",10,58,19,228,"E",5,1,"","stary",2015-12-30,2017-09-13,2015,2017
"503",5,58,19,182,"F",5,1,"","stary",2015-07-02,2017-10-09,2015,2017
"504",5,58,19,180,"E",2017,4,"przysz쿮","nowy",2017-12-10,2017-10-27,2017,2017
"505",5,58,19,182,"E",5,1,"","stary",2016-08-31,2017-11-16,2016,2017
"506",5,58,19,184,"G",5,1,"","stary",2011-06-30,2017-11-30,2011,2017
"507",10,58,19,183,"F",5,1,"","stary",2016-02-29,2017-11-24,2016,2017
"508",5,58,19,183,"G",2018,4,"przesz쿮","nowy",2015-12-11,2018-07-13,2015,2018
"509",10,58,19,185,"E",2018,4,"przysz쿮","nowy",2017-09-30,2018-12-07,2017,2018
"510",5,119,39,447,"C",5,1,"","stary",2011-11-30,2017-10-13,2011,2017
"511",15,183,60,624,"E",3,1,"","stary",2014-06-30,2015-11-30,2014,2015
"512",15,61,20,198,"E",4,1,"","stary",2015-04-30,2016-08-10,2015,2016
"513",5,61,20,189,"E",4,1,"","stary",2015-12-27,2016-08-30,2015,2016
"514",15,61,20,255,"A",4,1,"","stary",2014-06-12,2016-09-16,2014,2016
"515",5,61,20,194,"G",5,1,"","stary",2013-11-06,2017-08-25,2013,2017
"516",5,61,20,191,"F",5,1,"","stary",2016-02-20,2017-11-16,2016,2017
"517",5,61,20,193,"E",5,1,"","stary",2017-11-30,2018-03-12,2017,2018
"518",15,247,81,843,"C",4,1,"","stary",2015-06-01,2016-07-26,2015,2016
"519",15,311,102,991,"G",4,1,"","stary",2015-02-27,2016-12-22,2015,2016
"520",10,1058,347,4325,"D",5,1,"","stary",2016-10-14,2017-10-20,2016,2017
"521",20,250,82,824,"E",2018,4,"przesz쿮","nowy",2016-05-31,2018-11-09,2016,2018
"522",15,64,21,201,"E",3,1,"","stary",2014-09-01,2015-11-05,2014,2015
"523",10,64,21,252,"E",3,1,"","stary",2016-08-30,2015-12-08,2016,2015
"524",4,64,21,202,"E",3,1,"","stary",2016-12-31,2015-12-22,2016,2015
"525",10,64,21,202,"E",4,1,"","stary",2015-11-23,2016-08-29,2015,2016
"526",7,64,21,206,"E",4,1,"","stary",2016-10-30,2016-12-20,2016,2016
"527",5,64,21,203,"G",5,1,"","stary",2016-04-28,2017-08-09,2016,2017
"528",5,64,21,252,"G",5,1,"","stary",2014-01-31,2017-10-19,2014,2017
"529",5,64,21,199,"E",5,1,"","stary",2016-10-30,2017-10-27,2016,2017
"530",4,64,21,207,"E",5,1,"","stary",2017-12-31,2018-05-22,2017,2018
"531",5,195,64,607,"G",3,1,"","stary",2013-07-19,2015-11-30,2013,2015
"532",15,262,86,1029,"E",1,1,"","stary",2011-12-31,2013-10-31,2011,2013
"533",5,198,65,632,"E",5,1,"","stary",2017-06-01,2017-10-24,2017,2017
"534",10,67,22,266,"E",3,1,"","stary",2015-12-31,2015-12-08,2015,2015
"535",15,67,22,262,"F",3,2,"","stary",2013-10-24,2015-11-13,2013,2015
"536",5,67,22,264,"E",4,1,"","stary",2014-07-31,2016-07-25,2014,2016
"537",10,67,22,229,"G",4,1,"","stary",2015-08-03,2016-12-16,2015,2016
"538",10,67,22,231,"F",4,1,"","stary",2014-09-04,2016-10-14,2014,2016
"539",5,268,88,854,"G",5,2,"","stary",2016-07-22,2017-10-11,2016,2017
"540",25,67,22,304,"A",5,3,"","stary",2016-05-13,2017-11-15,2016,2017
"541",10,67,22,257,"G",2018,4,"przesz쿮","nowy",2016-08-30,2018-08-13,2016,2018
"542",20,134,44,441,"G",2018,4,"przesz쿮","nowy",2016-01-15,2018-10-25,2016,2018
"543",10,67,22,207,"G",2018,4,"przesz쿮","nowy",2014-11-04,2018-11-30,2014,2018
"544",25,137,45,426,"A",5,3,"","stary",2013-12-18,2018-03-12,2013,2018
"545",15,210,69,884,"A",2,1,"","stary",2012-08-10,2015-02-13,2012,2015
"546",5,70,23,275,"E",3,1,"","stary",2014-07-30,2015-11-06,2014,2015
"547",15,70,23,222,"G",4,1,"","stary",2013-01-22,2016-09-16,2013,2016
"548",15,70,23,273,"E",4,2,"","stary",2011-12-30,2016-08-30,2011,2016
"549",15,70,23,221,"E",5,1,"","stary",2016-09-23,2017-09-20,2016,2017
"550",3,70,23,225,"F",5,1,"","stary",2016-12-15,2017-11-13,2016,2017
"551",20,353,116,1391,"G",2,2,"","stary",2012-12-19,2015-02-02,2012,2015
"552",15,283,93,966,"E",2,1,"","stary",2014-06-30,2015-02-05,2014,2015
"553",5,283,93,882,"A",4,1,"","stary",2011-06-02,2016-10-10,2011,2016
"554",40,213,70,663,"A",3,3,"","stary",2013-09-27,2015-11-30,2013,2015
"555",6,213,70,679,"E",5,1,"","stary",2018-04-30,2018-06-04,2018,2018
"556",10,143,47,561,"E",2,1,"","stary",2013-06-30,2015-02-06,2013,2015
"557",25,143,47,447,"A",5,3,"","stary",2013-11-27,2018-03-12,2013,2018
"558",5,359,118,1117,"G",3,1,"","stary",2013-10-18,2015-11-30,2013,2015
"559",10,216,71,738,"G",1,1,"","stary",2011-03-31,2014-04-25,2011,2014
"560",5,216,71,672,"E",2,1,"","stary",2011-08-19,2015-02-05,2011,2015
"561",15,654,215,2582,"B",4,3,"","stary",2012-10-18,2016-09-05,2012,2016
"562",3,73,24,295,"B",1,1,"","stary",2011-12-01,2013-11-07,2011,2013
"563",10,73,24,289,"E",3,1,"","stary",2014-12-31,2015-11-19,2014,2015
"564",21,146,48,599,"G",4,2,"","stary",2014-09-16,2016-07-25,2014,2016
"565",10,73,24,253,"E",4,1,"","stary",2014-07-18,2016-07-25,2014,2016
"566",5,73,24,228,"G",4,1,"","stary",2015-05-28,2016-08-30,2015,2016
"567",10,73,24,232,"E",4,1,"","stary",2015-05-31,2016-09-16,2015,2016
"568",5,73,24,229,"E",4,1,"","stary",2014-09-30,2016-09-16,2014,2016
"569",20,73,24,230,"E",5,1,"","stary",2015-12-31,2017-11-15,2015,2017
"570",45,73,24,229,"A",5,3,"","stary",2015-05-07,2018-03-15,2015,2018
"571",10,514,169,1600,"G",4,1,"","stary",2015-12-30,2016-07-26,2015,2016
"572",5,368,121,1146,"E",2,1,"","stary",2011-02-15,2015-02-05,2011,2015
"573",10,222,73,871,"E",3,NA,"","",2014-03-31,NA,2014,NA
"574",5,222,73,709,"E",5,1,"","stary",2016-09-30,2017-08-22,2016,2017
"575",15,304,100,1197,"E",1,1,"","stary",2012-12-31,2013-10-31,2012,2013
"576",10,76,25,238,"E",2,1,"","stary",2015-02-09,2015-02-09,2015,2015
"577",15,310,102,1156,"C",4,1,"","stary",2015-12-01,2016-07-26,2015,2016
"578",10,392,129,1292,"G",5,1,"","stary",2015-10-15,2017-10-12,2015,2017
"579",10,158,52,540,"F",1,1,"","stary",2011-03-31,2014-04-25,2011,2014
